Type,Title,Category
Complex Loop,Phone Scrolling,Digital & Screen Patterns
Complex Loop,Screen Time Binges,Digital & Screen Patterns
Complex Loop,Social Media Spirals,Digital & Screen Patterns
Complex Loop,Online Shopping,Digital & Screen Patterns
Complex Loop,Chronic Lateness,Time & Schedule Patterns
Complex Loop,Missed Appointments,Time & Schedule Patterns
Complex Loop,Last-Minute Canceling,Time & Schedule Patterns
Complex Loop,Double-Booking Yourself,Time & Schedule Patterns
Complex Loop,People-Pleasing Burnout,Emotional & Social Patterns
Complex Loop,Rejection Sensitivity Loops,Emotional & Social Patterns
Complex Loop,Social Masking Exhaustion,Emotional & Social Patterns
Complex Loop,Text Message Avoidance,Emotional & Social Patterns
Complex Loop,Email Overwhelm,Emotional & Social Patterns
Complex Loop,Friendships,Emotional & Social Patterns
Complex Loop,Intimacy,Emotional & Social Patterns
Complex Loop,Decision Overwhelm,Decision & Perfectionism Patterns
Complex Loop,Perfectionism Cycles,Decision & Perfectionism Patterns
Complex Loop,Analysis Paralysis,Decision & Perfectionism Patterns
Complex Loop,Pre-Event Paralysis,Decision & Perfectionism Patterns
Complex Loop,Overeating,Life & Wellness Patterns
Complex Loop,Undereating,Life & Wellness Patterns
Complex Loop,Job Search,Life & Wellness Patterns
Complex Loop,Can't Fall Asleep,Sleep & Energy Patterns
Complex Loop,Sleeping Through Alarms,Sleep & Energy Patterns
Complex Loop,Constantly Tired,Sleep & Energy Patterns
Complex Loop,Bedtime Procrastination,Sleep & Energy Patterns
Task,Cleaning,Home & Life Maintenance
Task,Laundry,Home & Life Maintenance
Task,Dishes,Home & Life Maintenance
Task,Decluttering,Home & Life Maintenance
Task,Cooking,Home & Life Maintenance
Task,Hygiene,Home & Life Maintenance
Task,Cleaning Out the Fridge,Home & Life Maintenance
Task,Meal Planning,Food & Shopping
Task,Grocery Shopping,Food & Shopping
Task,Retail Shopping,Food & Shopping
Task,Planning & Scheduling,Planning & Organization
Task,Todo Lists,Planning & Organization
Task,Bills & Money,Planning & Organization
Task,Paperwork,Planning & Organization
Task,Writing an Email,Planning & Organization
Task,Organization,Planning & Organization
Task,Work Tasks,Work & Study
Task,Big Exam Prep,Work & Study
Task,Staying on Top of Classwork,Work & Study
Task,Focus Time,Work & Study
Task,Morning Routine,Routines & Social
