page,type,category
Stuck,Feeling,Dysregulation & Shutdown
Overwhelmed,Feeling,Mental Fog & Overload
Avoidant,Feeling,Uncategorized
Forgetful,Feeling,Mental Fog & Overload
Ashamed,Feeling,Emotional Weight
Guilty,Feeling,Emotional Weight
Defeated,Feeling,Emotional Weight
Burned Out,Feeling,Dysregulation & Shutdown
Drained,Feeling,Dysregulation & Shutdown
Numb,Feeling,Dysregulation & Shutdown
Anxious,Feeling,Sensory & Speed
Restless,Feeling,Sensory & Speed
Overstimulated,Feeling,Sensory & Speed
Lonely,Feeling,Social & Internal Struggles
Misunderstood,Feeling,Social & Internal Struggles
Frustrated,Feeling,Social & Internal Struggles
Scattered,Feeling,Mental Fog & Overload
Hopeless,Feeling,Emotional Weight
Low Motivation,Feeling,Uncategorized
Wired,Feeling,Sensory & Speed
I can’t start,Barrier,Executive Function
I keep avoiding it,Barrier,Executive Function
I don’t have energy,Barrier,Executive Function
I get distracted,Barrier,Executive Function
It feels too big,Barrier,Emotional Blocks
I feel shame,Barrier,Emotional Blocks
I don’t know where to start,Barrier,Decision Paralysis
Too many decisions,Barrier,Decision Paralysis
It feels pointless,Barrier,Emotional Blocks
I’m afraid I’ll fail,Barrier,Emotional Blocks
I already failed,Barrier,Emotional Blocks
I forgot,Barrier,Executive Function
It’s not urgent,Barrier,Motivation Issues
I can’t stay focused,Barrier,Executive Function
I run out of steam,Barrier,Executive Function
I feel alone,Barrier,Motivation Issues
I feel emotionally blocked,Barrier,Emotional Blocks
I don’t have time,Barrier,Executive Function
I don’t know how,Barrier,Executive Function
I feel frozen,Barrier,Executive Function
Cleaning,Task,Home & Life Maintenance
Meal Prep,Task,Home & Life Maintenance
Emails & Texts,Task,Home & Life Maintenance
Hygiene,Task,Home & Life Maintenance
Finances,Task,Home & Life Maintenance
Errands,Task,Home & Life Maintenance
Planning,Task,Planning & Organization
Time Management,Task,Planning & Organization
Starting Something Hard,Task,Execution & Productivity
Finishing Something,Task,Execution & Productivity
Catching Up,Task,Execution & Productivity
Resetting My Space,Task,Planning & Organization
Leaving the House,Task,Transition & Activation
Getting Ready,Task,Transition & Activation
Doing Laundry,Task,Home & Life Maintenance
Doing the Dishes,Task,Home & Life Maintenance
Managing My Schedule,Task,Planning & Organization
Grocery Shopping,Task,Home & Life Maintenance
Filing Paperwork,Task,Home & Life Maintenance
Returning Messages,Task,Home & Life Maintenance
Caregiver,Identity,Uncategorized
Parent,Identity,Uncategorized
Student,Identity,Uncategorized
Neurodivergent Adult,Identity,Uncategorized
Breadwinner,Identity,Uncategorized
Job Seeker,Identity,Uncategorized
Sick or Chronically Ill,Identity,Uncategorized
Burned Out Professional,Identity,Uncategorized
Over-responsible Sibling,Identity,Uncategorized
Solo Household Manager,Identity,Uncategorized
Newly Diagnosed ADHD,Identity,Uncategorized
Queer or Trans in Unsupportive Environment,Identity,Uncategorized
Low-Income / Financially Stretched,Identity,Uncategorized
Immigrant or English Language Learner,Identity,Uncategorized
Creative with Executive Dysfunction,Identity,Uncategorized
Grieving or Emotionally Raw,Identity,Uncategorized
No Support System,Identity,Uncategorized
Working Multiple Jobs,Identity,Uncategorized
Entrepreneur,Identity,Uncategorized
Recovering Perfectionist,Identity,Uncategorized
How to talk to a friend who doubts ADHD,Script,Advocacy & Boundaries
How to ask your doctor for an ADHD evaluation,Script,Medical Navigation
How to tell your partner what you need,Script,Relationship Communication
What to say when you forgot again,Script,Repair & Reassurance
How to ask your boss for accommodations,Script,Workplace Advocacy
I’m trying my best (to family/friends/self),Script,Self-Compassion
Habit Stacking vs Habit Bundling,Guide,Behavior Change
Diagnostic Guide U.S.,Guide,Medical Navigation
Types of Support (includes quiz),Guide,Support Systems
Analysis Paralysis - When to Stop Planning,Guide,Decision Making
What Do You Truly Need to Focus On,Guide,Prioritization
Moralizing - How to Rationalize It,Guide,Mindset & Shame
Debunking ADHD Surface-Level Claims,Guide,Psychoeducation
Dealing with Financial Shame,Guide,Shame & Money
"How Trauma, ADHD, Autism Intersect",Guide,Intersectional Understanding
Dealing with Clutter Shame - Throw Out Shame,Guide,Shame & Environment
Interactive Flowchart: Why Tasks Are Hard With ADHD,Guide,Task Initiation
What Vitamins/Supplements Actually Work (esp. on Stimulants),Guide,Health & Supplements
Medicine Types Overview,Guide,Medication Education
How to Find Financial Support for Meds (e.g. GoodRx),Guide,Medication Access
Dealing with Sensory Issues (e.g. Sunscreen & Alternatives),Guide,Sensory Support
Everything That Interconnects With ADHD (e.g. Delayed Sleep Phase),Guide,Whole-Person Care
Structure Type Archetype Quiz,Quiz/Extra,Self-Understanding
Sleep Calculator (9 Hours in Bed),Quiz/Extra,Sleep Hygiene
Verbal Processor vs Other Types,Quiz/Extra,Cognitive Style Insight
Self-Care Type Quiz,Quiz/Extra,Personalized Support
Time Blindness Calculator,Quiz/Extra,Time Awareness
Root Cause Quiz – Why Don’t You Want to Shower?,Quiz/Extra,Motivation Insight
